Customer ID,last_purchase,frequency,monetary,recency,R_score,F_score,M_score,RFM_score,segment
12346,2010-06-28 13:53:00,11,372.86,165,1,4,2,142,Lost
12347,2010-12-07 14:57:00,2,1323.32,3,4,2,3,423,Loyal
12348,2010-09-27 14:59:00,1,222.15999999999997,74,2,1,1,211,At Risk
12349,2010-10-28 08:23:00,3,2671.14,43,3,3,4,334,Champion
12351,2010-11-29 15:23:00,1,300.93,11,4,1,1,411,New Customer
12352,2010-11-29 10:07:00,2,343.8,11,4,2,2,422,Loyal
12353,2010-10-27 12:44:00,1,317.76,44,3,1,2,312,New Customer
12355,2010-05-21 11:59:00,1,488.21000000000004,203,1,1,2,112,Lost
12356,2010-11-24 12:24:00,3,3562.25,16,4,3,4,434,Champion
12357,2010-11-16 14:29:00,2,12079.99,24,3,2,4,324,Loyal
12358,2010-11-29 10:56:00,3,2719.01,11,4,3,4,434,Champion
12359,2010-10-10 11:16:00,6,2563.36,61,2,4,4,244,Potential Loyalist
12360,2010-11-25 11:04:00,5,1590.83,15,4,3,3,433,Champion
12361,2010-09-03 15:19:00,3,321.35,98,2,3,2,232,Potential Loyalist
12362,2009-12-01 10:10:00,1,130.0,374,1,1,1,111,Lost
12366,2010-03-16 10:28:00,1,500.24,269,1,1,2,112,Lost
12368,2010-03-21 15:56:00,1,917.7,264,1,1,3,113,Lost
12369,2010-10-22 13:13:00,3,1791.15,49,3,3,4,334,Champion
12370,2010-03-25 12:10:00,3,774.62,260,1,3,3,133,Lost
12371,2010-10-26 13:37:00,3,2179.42,45,3,3,4,334,Champion
12373,2010-03-25 13:49:00,2,763.0500000000001,260,1,2,3,123,Lost
12374,2010-10-14 13:31:00,3,2246.29,57,2,3,4,234,Potential Loyalist
12376,2010-11-15 12:15:00,2,503.15,25,3,2,2,322,Loyal
12377,2010-11-23 19:24:00,2,1798.2,17,4,2,4,424,Loyal
12378,2010-05-26 14:07:00,1,1407.7,198,1,1,3,113,Lost
12379,2010-10-13 14:46:00,2,767.98,58,2,2,3,223,Potential Loyalist
12380,2010-08-31 14:54:00,7,6951.49,101,2,4,4,244,Potential Loyalist
12385,2010-11-25 15:14:00,1,1938.4,15,4,1,4,414,New Customer
12386,2010-12-08 09:53:00,1,258.9,2,4,1,1,411,New Customer
12387,2010-10-20 16:27:00,1,143.94,51,3,1,1,311,New Customer
12388,2010-09-20 12:41:00,2,1120.45,81,2,2,3,223,Potential Loyalist
12389,2010-11-02 11:52:00,3,1433.33,38,3,3,3,333,Champion
12391,2010-09-01 12:38:00,5,2312.53,100,2,3,4,234,Potential Loyalist
12392,2010-04-27 14:04:00,1,234.75000000000003,227,1,1,1,111,Lost
12393,2010-11-22 16:10:00,2,816.85,18,4,2,3,423,Loyal
12395,2010-12-03 16:35:00,4,2048.64,7,4,3,4,434,Champion
12396,2010-02-03 13:22:00,1,931.43,310,1,1,3,113,Lost
